ts,batch,status,lat_ms
1759911669.7372737,222,204,59989.19868469238
1759911729.7056353,226,204,59968.01280975342
1759911729.7063718,236,204,59968.51849555969
1759911729.7065244,229,204,59968.81151199341
1759911729.7115734,224,204,59997.825384140015
1759911729.7116714,239,204,59971.74096107483
1759911729.7117531,233,204,59973.96016120911
1759911729.7118254,237,204,59973.95825386047
1759911729.7118928,230,204,59974.16019439697
1759911729.7119567,228,204,59974.276542663574
1759911729.7120214,234,204,59974.210262298584
1759911729.7120824,235,204,59974.25317764282
1759911729.7246706,227,204,59987.02120780945
1759911729.7247815,232,204,59987.00666427612
1759911729.7248514,238,204,59986.9658946991
1759911729.7249262,231,204,59987.1723651886
1759911729.7249875,225,204,59987.46037483215
1759911789.6989071,245,204,59973.68288040161
1759911789.7019103,242,204,59989.57395553589
1759911789.7020254,255,204,59968.64175796509
1759911789.7021072,240,204,59989.93468284607
1759911789.7021754,247,204,59976.966857910156
1759911789.7023067,252,204,59969.00486946106
1759911789.7024307,244,204,59977.29253768921
1759911789.702525,249,204,59977.27656364441
1759911789.7025988,241,204,59990.3039932251
1759911789.7027192,248,204,59977.489948272705
1759911789.7027948,251,204,59969.534397125244
1759911789.7028706,243,204,59977.789640426636
1759911789.7029192,250,204,59977.65326499939
1759911789.702962,246,204,59977.77509689331
1759911789.7030046,254,204,59969.65980529785
1759911789.7256634,253,204,59992.337226867676
1759911849.707661,264,204,59981.48560523987
1759911849.7105415,260,204,59984.48657989502
1759911849.7106555,263,204,59984.54165458679
1759911849.71078,256,204,60007.6858997345
1759911849.7108939,265,204,59984.74192619324
1759911849.7109735,271,204,59982.77950286865
1759911849.7110398,270,204,59984.79437828064
1759911849.711106,268,204,59984.90214347839
1759911849.7111833,261,204,59985.108852386475
1759911849.7112823,262,204,59985.18705368042
1759911849.7113512,267,204,59985.1655960083
1759911849.7114193,258,204,59985.44001579285
1759911849.7114751,257,204,59985.56971549988
1759911849.7115195,266,204,59985.35346984863
1759911849.7115784,269,204,59985.35752296448
1759911849.7116432,259,204,59985.6219291687
1759911909.7077358,276,204,59972.98765182495
1759911909.7104821,283,204,59975.597620010376
1759911909.7106292,277,204,59975.86512565613
1759911909.7108161,272,204,59999.09806251526
1759911909.7162507,273,204,59981.63628578186
1759911909.7163303,285,204,59981.41384124756
1759911909.7164044,281,204,59981.56118392944
1759911909.7164688,280,204,59981.642961502075
1759911909.7165365,274,204,59981.85682296753
1759911909.71661,275,204,59981.8971157074
1759911909.716671,278,204,59981.881856918335
1759911909.7167325,286,204,59981.79912567139
1759911909.7167919,287,204,59981.841802597046
1759911909.7168505,284,204,59981.95147514343
1759911909.7169175,282,204,59982.05780982971
1759911909.7342522,279,204,59999.443769454956
1759911969.7092426,291,204,59992.05279350281
1759911969.7122064,303,204,59975.93688964844
1759911969.7123523,299,204,59977.80656814575
1759911969.7124743,301,204,59977.88739204407
1759911969.7125735,296,204,59978.0969619751
1759911969.7126548,289,204,59995.593309402466
1759911969.7127414,288,204,60001.63388252258
1759911969.7128088,297,204,59978.30581665039
1759911969.712883,293,204,59978.48129272461
1759911969.7129493,302,204,59978.349685668945
1759911969.71301,300,204,59978.44696044922
1759911969.7130687,294,204,59978.636026382446
1759911969.713129,295,204,59978.673219680786
1759911969.7131867,298,204,59978.662967681885
1759911969.713247,290,204,59996.13380432129
1759911969.734775,292,204,60000.43177604675
1759912029.702536,307,204,59967.40460395813
1759912029.7042084,309,204,59969.03991699219
1759912029.704405,312,204,59969.18511390686
1759912029.7045538,304,204,59991.19806289673
1759912029.7055345,305,204,59970.52764892578
1759912029.7056751,313,204,59970.439195632935
1759912029.7057774,316,204,59970.48258781433
1759912029.7058709,308,204,59970.728158950806
1759912029.70596,318,204,59970.61491012573
1759912029.7060478,317,204,59970.72386741638
1759912029.7061357,306,204,59971.06075286865
1759912029.7062418,311,204,59971.04263305664
1759912029.706333,315,204,59971.05646133423
1759912029.706423,319,204,59969.18344497681
1759912029.7065632,314,204,59971.307039260864
1759912029.73067,310,204,59995.48530578613
1759912089.7011485,326,204,59970.13306617737
